name,origin,destination,count
ALEX MANENTE,BSB,BSB,50
RENZO BRAZ,BSB,SDU,10
ADILTON SACHETTI,CGB,GRU,1
OSMAR SERRAGLIO,MGF,CWB,9
RODRIGO GARCIA,BSB,BSB,5
ERIVELTON SANTANA,RAO,BSB,1
JOSÉ GUIMARÃES,BSB,POA,1
ANTÔNIA LÚCIA,RBR,BSB,1
ALEXANDRE BALDY,BSB,SJP,1
WOLNEY QUEIROZ,BSB,BSB,112
JOÃO RODRIGUES,BSB,GIG,1
MÁRCIO MARINHO,BSB,GIG,1
JOÃO DANIEL,BSB,AJU,64
ELMAR NASCIMENTO,SSA,BSB,78
LUIZ FERNANDO MACHADO,VCP,BSB,1
VALMIR ASSUNÇÃO,SSA,CNF,1
SUBTENENTE GONZAGA,SDU,CNF,6
RODRIGO MAIA,BSB,GRU,3
TIRIRICA,BSB,BVB,1
MÁRCIO MARINHO,BRA,BSB,1
PASTOR EURICO,REC,GIG,3
RODRIGO GARCIA,CGH,BSB,8
MÁRCIO MARINHO,SDU,SSA,1
VALTENIR PEREIRA,CGB,BSB,72
CABO SABINO,BSB,REC,2
ERIVELTON SANTANA,BSB,RAO,1
DAMIÃO FELICIANO,GRU,JPA,9
JERÔNIMO GOERGEN,BRA,BSB,4
SÓSTENES CAVALCANTE,GIG,MAO,1
MOSES RODRIGUES,BSB,GRU,1
SÉRGIO MORAES,CGH,POA,3
EDUARDO DA FONTE,REC,VCP,1
CARLOS SAMPAIO,CGH,BSB,20
ALEX MANENTE,CGH,BSB,57
RENATA ABREU,BSB,SDU,1
WLADIMIR COSTA,BSB,SDU,3
LUCIANA SANTOS,SDU,BSB,2
CARMEN ZANOTTO,FLN,CGH,1
RÔMULO GOUVEIA,BSB,JPA,56
SÉRGIO MORAES,BSB,POA,113
JONY MARCOS,BSB,POA,1
ZENAIDE MAIA,FOR,NAT,1
ADEMIR CAMILO,BSB,SSA,3
CARLOS SAMPAIO,BSB,BSB,69
FAUSTO PINATO,PPB,BSB,1
