name,origin,destination,count
STEFANO AGUIAR,CGH,CNF,1
MARCELO AGUIAR,GRU,SSA,2
RENZO BRAZ,BSB,SDU,2
OSMAR SERRAGLIO,MGF,CWB,18
RODRIGO GARCIA,BSB,BSB,41
ALEXANDRE ROSO,POA,BSB,44
BONIFÁCIO DE ANDRADA,UDI,CNF,19
ANTÔNIA LÚCIA,RBR,BSB,38
PEDRO EUGÊNIO,JDO,BSB,2
WOLNEY QUEIROZ,BSB,BSB,55
LUIZ FERNANDO FARIA,GRU,BSB,2
RENATO ANDRADE,BSB,CNF,11
EDSON SILVA,FOR,GIG,1
ZÉ GERALDO,ATM,VIX,1
VANDERLEI MACRIS,BSB,GYN,2
MIRIQUINHO BATISTA,MAB,BEL,8
MÁRCIO MARINHO,BSB,GIG,3
LUIZ FERNANDO MACHADO,VCP,BSB,28
VALMIR ASSUNÇÃO,SSA,CNF,3
RODRIGO MAIA,BSB,GRU,1
PASTOR EURICO,REC,GIG,5
RODRIGO GARCIA,CGH,BSB,12
VALTENIR PEREIRA,CGB,BSB,95
VANDER LOUBET,bsb,rec,1
ANDERSON FERREIRA,BSB,SSA,1
MIGUEL CORRÊA,PLU,GYN,1
DAMIÃO FELICIANO,GRU,JPA,2
DANRLEI DE DEUS HINTERHOLZ,BSB,SSA,1
FABIO REIS,SLZ,BSB,1
SÉRGIO MORAES,CGH,POA,6
GUILHERME CAMPOS,CGH,BSB,12
EDUARDO GOMES,BSB,REC,1
CARLOS SAMPAIO,CGH,BSB,12
WLADIMIR COSTA,BSB,SDU,4
LUCIANA SANTOS,SDU,BSB,1
SÉRGIO MORAES,BSB,POA,61
GERALDO SIMÕES,SSA,IOS,32
CARLOS SAMPAIO,BSB,BSB,40
MENDONÇA FILHO,REC,GRU,9
VALADARES FILHO,BSB,GRU,1
ABELARDO LUPION,BSB,JTC,3
TAKAYAMA,BSB,IGU,1
JOÃO MAIA,REC,NAT,1
CARLOS MELLES,UBA,BSB,1
DELEGADO FRANCISCHINI,BSB,BSB,68
FRANCISCO CHAGAS,SDU,BSB,1
LÁZARO BOTELHO,PMW,AUX,11
GUILHERME CAMPOS,BSB,BSB,7
DR. GRILO,BSB,CGH,2
ANGELO VANHONI,CWB,CAC,1
LUIZ NISHIMORI,BSB,VCP,1
ODAIR CUNHA,GRU,CNF,1
PAULO RUBEM SANTIAGO,REC,GRU,1
OTAVIO LEITE,CGH,SDU,9
RUBENS BUENO,CWB,BSB,88
PAULO BORNHAUSEN,GRU,BSB,2
REINALDO AZAMBUJA,CGR,GIG,1
SÉRGIO BRITO,BSB,VCP,1
CHICO ALENCAR,GYN,SDU,2
AFONSO FLORENCE,CGH,BSB,1
PAULO PIMENTA,BSB,BSB,36
STEFANO AGUIAR,BSB,CNF,42
JEFFERSON CAMPOS,CNF,VCP,1
SÉRGIO BRITO,BSB,VDC,1
ANDERSON FERREIRA,BSB,BSB,48
ADEMIR CAMILO,BSB,BSB,52
DEVANIR RIBEIRO,RAO,CGH,1
BRUNA FURLAN,CGH,BSB,104
ELISEU PADILHA,BSB,SDU,2
ELCIONE BARBALHO,VCP,BSB,1
BRUNO ARAÚJO,CNF,REC,2
DANRLEI DE DEUS HINTERHOLZ,BSB,BSB,17
CARLOS MAGNO,PVH,1
WLADIMIR COSTA,BSB,BEL,45
DEVANIR RIBEIRO,BSB,ARU,1
LUCIO VIEIRA LIMA,SSA,GRU,1
MARCO MAIA,GRU,POA,3
ONYX LORENZONI,GRU,POA,2
TIRIRICA,BSB,BSB,32
ADEMIR CAMILO,CGH,BSB,6
VILSON COVATTI,BSB,POA,80
VILSON COVATTI,POA,FLN,1
ANTONIO CARLOS MENDES THAME,VCP,PPB,1
CHICO ALENCAR,CGH,BSB,1
DAMIÃO FELICIANO,NAT,FOR,2
LELO COIMBRA,CGH,BSB,2
FÁBIO RAMALHO,IPN,CNF,1
LUIZ CARLOS BUSATO,POA,BSB,47
MARCOS ROGÉRIO,BSB,JPR,2
PROFESSORA DORINHA SEABRA REZENDE,BSB,GYN,6
WELLINGTON FAGUNDES,CGB,GYN,2
FÁBIO RAMALHO,CGH,CNF,1
JOÃO CAMPOS,BSB,GYN,24
VILSON COVATTI,CGH,POA,1
AELTON FREITAS,UDI,BSB,13
LELO COIMBRA,BSB,BSB,46
SILVIO COSTA,REC,FOR,1
WILSON FILHO,REC,BSB,2
DARCÍSIO PERONDI,CGH,POA,6
LUIZ NISHIMORI,CWB,MGF,34
NELSON MARQUEZELLI,RAO,BSB,15
PAES LANDIM,SSA,PNZ,1
PEPE VARGAS,CXJ,BSB,4
URZENI ROCHA,BSB,CGH,1
WILSON FILHO,REC,SSA,1
TIRIRICA,BSB,SSA,2
CARLOS SOUZA,JPA,BSB,1
LUCIANO CASTRO,CWB,BSB,1
MARIA DO ROSÁRIO,BSB,POA,43
SÉRGIO BRITO,SSA,PNZ,6
AFONSO HAMM,BSB,BSB,67
ARNON BEZERRA,JDO,FOR,14
JOÃO CARLOS BACELAR,SSA,BSB,92
BETINHO ROSADO,NAT,BSB,56
JERÔNIMO GOERGEN,FLN,BSB,1
GIOVANNI QUEIROZ,GRU,CGR,1
ROGÉRIO CARVALHO,GRU,BSB,2
WALDENOR PEREIRA,BSB,SDU,1
CARLOS ALBERTO LERÉIA,GYN,SDU,1
MIGUEL CORRÊA,GRU,CNF,5
LIDERANÇA DO PSDB,CUR-SAO,1
ALICE PORTUGAL,SSA,GRU,10
DR. ROSINHA,GRU,BSB,3
RENATO SIMÕES,VCP,SJK,1
ESPERIDIÃO AMIN,FLN,BSB,94
FÁBIO SOUTO,GRU,SSA,2
ANDRE VARGAS,BSB,CGH,25
WOLNEY QUEIROZ,CGH,BSB,1
JERÔNIMO GOERGEN,SDU,BSB,3
TIRIRICA,CGH,BSB,29
JOÃO PAULO LIMA,BSB,FOR,1
CHICO ALENCAR,BSB,BSB,33
ALINE CORRÊA,BSB,REC,27
DELEGADO FRANCISCHINI,CGH,BSB,4
BERNARDO SANTANA DE VASCONCELLOS,BSB,UBA,1
NILTON CAPIXABA,BSB,CGB,13
LUIZ SÉRGIO,SDU,CGH,3
ADRIAN,GIG,BSB,12
MISSIONÁRIO JOSÉ OLIMPIO,VCP,PLU,1
WELLINGTON FAGUNDES,GRU,BSB,4
FILIPE PEREIRA,GYN,GIG,1
ALEXANDRE LEITE,BSB,ARU,2
EUDES XAVIER,BSB,BSB,22
GENECIAS NORONHA,BSB,MAO,1
RENATO SIMÕES,VCP,SDU,1
DR. ROSINHA,CAC,CWB,2
HÉLIO SANTOS,BSB,IMP,36
ANTHONY GAROTINHO,BSB,GIG,31
JOÃO CARLOS BACELAR,SDU,CGH,1
VANDERLEI MACRIS,VCP,AQA,1
DELEGADO PROTÓGENES,POA,CGH,1
JOSÉ OTÁVIO GERMANO,VCP,POA,1
JOSÉ CARLOS ARAÚJO,GRU,SSA,5
JOSE STÉDILE,BSB,RIA,1
PAULO TEIXEIRA,GRU,RAO,1
ARLINDO CHINAGLIA,VCP,ARU,1
WELITON PRADO,PLU,AAX,1
RODRIGO MAIA,SDU,BSB,47
BENJAMIN MARANHÃO,BSB,CGH,1
RODRIGO BETHLEM,BSB,SDU,24
JOSÉ CHAVES,NAT,BSB,1
JOÃO MAIA,NAT,GRU,2
JOÃO LYRA,NAT,BSB,3
NILDA GONDIM,NAT,BSB,1
PASTOR EURICO,BSB,FOR,1
JOÃO RODRIGUES,FLN,BSB,16
ANTHONY GAROTINHO,SDU,CAW,3
MÁRCIO MARINHO,BSB,GRU,1
