name,origin,destination,count
BRUNA FURLAN,BSB,SLZ,1
NILTON CAPIXABA,BSB,CGB,17
LUIZ SÉRGIO,SDU,CGH,1
CACÁ LEÃO,BSB,CGH,9
LAERCIO OLIVEIRA,BPS,BSB,1
ROSANGELA GOMES,GIG,BSB,61
SÉRGIO MORAES,BSB,PFB,1
JOÃO CARLOS BACELAR,SSA,BPS,2
TONINHO WANDSCHEER,IGU,BSB,1
GEORGE HILTON,SDU,VDC,2
PAUDERNEY AVELINO,BSB,VCP,1
MARCIO ALVINO,RAO,BSB,1
BETO ROSADO,NAT,BSB,75
RAQUEL MUNIZ,BSB,MOC,31
NILTON CAPIXABA,BSB,CNF,1
JÉSSICA SALES,GIG,BSB,2
JUNIOR MARRECA,CGH,BSB,5
MARX BELTRÃO,SDU,BSB,2
MARCELO ÁLVARO ANTÔNIO,BSB,REC,1
JOSÉ CARLOS ARAÚJO,GRU,SSA,5
EDUARDO BOLSONARO,FOR-CGH,1
MARCELO ARO,BSB,CNF,16
ANTONIO BRITO,BSB,REC,2
ARLINDO CHINAGLIA,VCP,ARU,2
MARCELO CASTRO,SLZ,THE,2
RODRIGO MAIA,SDU,BSB,34
BENJAMIN MARANHÃO,BSB,CGH,1
WLADIMIR COSTA,BSB,SLZ,1
VITOR VALIM,REC,FOR,5
BRUNNY,BSB,FOR,1
LUIZ CLÁUDIO,BSB,CGB,2
ALEXANDRE BALDY,BSB,BSB,25
ANGELIM,RBR,BSB,50
TONINHO WANDSCHEER,BSB,IGU,1
ALFREDO KAEFER,CWB,CWB,1
JOÃO RODRIGUES,FLN,BSB,26
MAURO LOPES,CNF,GYN,2
WOLNEY QUEIROZ,GRU,REC,6
DIEGO ANDRADE,CNF,CNF,1
GIACOBO,CWB,BSB,29
LAERCIO OLIVEIRA,BSB,VIX,1
EVANDRO GUSSI,BSB,CGH,37
JÔ MORAES,POA,CNF,1
ALCEU MOREIRA,POA,BSB,29
MARCO TEBALDI,BSB,XAP,3
PROFESSOR VICTÓRIO GALLI,BSB,ROO,1
JÚLIO DELGADO,GIG,BSB,1
JORGE BOEIRA,POA,BSB,1
PEPE VARGAS,BSB,POA,48
RAQUEL MUNIZ,MOC,MOC,1
MACEDO,BSB,BSB,3
EFRAIM FILHO,CGH,REC,2
ODORICO MONTEIRO,FOR,THE,1
JOSÉ MENTOR,GRU,BSB,5
MARCOS SOARES,CGH,BSB,2
DANILO FORTE,FOR,JDO,1
HERÁCLITO FORTES,BSB,GRU,2
MAURO PEREIRA,BSB,BSB,23
HENRIQUE FONTANA,VCP,BSB,1
NELSON MEURER,BSB,GRU,1
ZECA DIRCEU,MGF,GRU,1
JOÃO DANIEL,AJU,GRU,3
JANETE CAPIBERIBE,BSB,BSB,18
SHÉRIDAN,BSB,REC,1
JÚLIA MARINHO,BSB,PMW,4
POMPEO DE MATTOS,BSB,MCZ,1
ANTÔNIO JÁCOME,BSB,GIG,1
PAULO TEIXEIRA,BSB,BSB,25
CHICO D'ANGELO,BSB,SDU,92
MARCELO CASTRO,BSB,SDU,1
EZEQUIEL FONSECA,BSB,CGH,1
HUGO LEAL,GIG,BSB,16
JOÃO RODRIGUES,GYN,XAP,1
MARIA DO ROSÁRIO,CGH,POA,1
PAULO MALUF,CGH,BSB,77
EZEQUIEL FONSECA,BSB,CGB,31
NELSON MARQUEZELLI,BSB,RAO,1
CAJAR NARDES,PFB,BSB,1
PROFESSORA DORINHA SEABRA REZENDE,CGH,GYN,1
FÁBIO RAMALHO,BSB,CNF,83
CAETANO,BSB,GIG,1
SARNEY FILHO,SLZ,GRU,1
AFONSO HAMM,BSB,SLZ,1
ARTHUR LIRA,GIG,MCZ,1
VALMIR PRASCIDELLI,BSB,GRU,1
RONALDO CARLETTO,BSB,CGH,2
ZECA CAVALCANTI,BSB,CGH,1
ZECA DIRCEU,CWB,CAC,8
JOSÉ FOGAÇA,BSB,POA,69
GONZAGA PATRIOTA,BSB,JDO,2
CARLOS GOMES,BSB,CGH,2
ELCIONE BARBALHO,MAO,BEL,1
CARLOS MELLES,VCP,CNF,2
ELIZIANE GAMA,GRU,SLZ,3
PAULO ABI-ACKEL,CNF,CGH,2
CAJAR NARDES,GIG,BSB,2
DELEGADO EDSON MOREIRA,CNF,MOC,1
LUIS TIBÉ,MCZ,CNF,1
RICARDO IZAR,BSB,VCP,8
LÁZARO BOTELHO,PMW,SDU,1
MARCELO MATOS,VCP,GIG,1
NILSON PINTO,CKS,BEL,1
JOÃO CARLOS BACELAR,SDU,CNF,2
EDUARDO BOLSONARO,BSB-RAO,1
HERCULANO PASSOS,BSB,VCP,47
BEBETO,SSA-IOS,1
JOÃO DANIEL,CGH,AJU,1
LUIZ SÉRGIO,BSB,GRU,3
BENEDITA DA SILVA,GIG,MVD,1
BENITO GAMA,BSB,GRU,2
DÉCIO LIMA,BSB,FLN,24
OTAVIO LEITE,BSB,SDU,62
BRUNA FURLAN,BSB,SDU,1
GUILHERME MUSSI,BSB,SJP,1
FÉLIX MENDONÇA JÚNIOR,BSB,MCZ,1
POMPEO DE MATTOS,POA,CGH,2
BETO FARO,BSB,BSB,103
ALFREDO KAEFER,CGH,MGF,1
CARLOS GOMES,BSB,BSB,56
PR. MARCO FELICIANO,BSB,CNF,1
WALDENOR PEREIRA,BSB,SSA,61
CAJAR NARDES,BSB,NVT,3
CACÁ LEÃO,BSB,BSB,113
HEITOR SCHUCH,POA,BSB,39
LEONARDO QUINTÃO,VCP,BSB,1
RENZO BRAZ,BSB,BSB,95
MARX BELTRÃO,BSB,GRU,1
CARLOS SAMPAIO,CGH,SDU,4
ANA PERUGINI,BSB,BSB,11
WLADIMIR COSTA,BSB,BSB,60
JUNIOR MARRECA,BSB,SLZ,31
JOSÉ ROCHA,BSB,NAT,1
RONALDO LESSA,MCZ,BSB,11
BRUNNY,CNF,IPN,2
FRANCISCO CHAPADINHA,STM,MAO,2
LUCIANA SANTOS,PNZ,REC,1
PASTOR EURICO,JDO,BSB,1
SHÉRIDAN,BSB-CGH,3
GOULART,SDU,CGH,1
CARLOS SAMPAIO,BSB,SDU,9
ULDURICO JUNIOR,BPS,CGH,1
WLADIMIR COSTA,CGH,BSB,8
LUIZ CARLOS BUSATO,POA,CGH,1
VALTENIR PEREIRA,CGB,SDU,2
FLAVIANO MELO,BSB,CGH,2
CACÁ LEÃO,CGH,BSB,9
WADIH DAMOUS,CGH,POA,1
ALIEL MACHADO,POA,CWB,1
BRUNNY,SDU,SDU,2
LUIZ SÉRGIO,SDU,BSB,86
INDIO DA COSTA,BSB,SDU,38
SIBÁ MACHADO,VCP,NVT,2
LOBBE NETO,VCP,BSB,5
ANGELIM,SSA,BSB,2
ROCHA,BSB,PVH,1
WADSON RIBEIRO,CGH,CNF,3
PAULO MALUF,BSB,CGH,122
BETO SALAME,FOR,BSB,1
FRANCISCO CHAPADINHA,MAB,BEL,1
ADEMIR CAMILO,MOC,BSB,1
PAULO TEIXEIRA,BSB,SLZ,1
TIRIRICA,BSB,SDU,1
CARMEN ZANOTTO,FLN,BSB,68
RODRIGO MAIA,SSA,BSB,1
CARLOS GOMES,CGH,BSB,4
DELEGADO FRANCISCHINI,BSB,SDU,1
SILAS CÂMARA,BSB,BSB,53
CACÁ LEÃO,BSB,SSA,95
LINCOLN PORTELA,CNF,CFB,1
ANDRES SANCHEZ,GRU,POA,1
FRANKLIN,SDU,CNF,1
ROBERTO FREIRE,EZE,BSB,1
WADIH DAMOUS,CNF,CGH,1
CHICO ALENCAR,BSB,SDU,57
LELO COIMBRA,BSB,SDU,1
ROBERTO GÓES,GRU,BSB,1
WALTER ALVES,BSB,NAT,80
LUIZ SÉRGIO,BSB,GIG,49
JEAN WYLLYS,GIG,MVD,3
EDMILSON RODRIGUES,SDU,BSB,2
EZEQUIEL FONSECA,CGH,CGB,1
ADALBERTO CAVALCANTI,BSB,BSB,23
EDUARDO DA FONTE,BSB,CNF,1
WILSON FILHO,BSB,AJU,2
OSMAR BERTOLDI,BSB,BSB,10
EVANDRO GUSSI,MII,BSB,19
ONYX LORENZONI,POA,GRU,2
ADALBERTO CAVALCANTI,BSB,SSA,4
HUGO LEAL,GIG,CNF,1
MARGARIDA SALOMÃO,CNF,BSB,14
DELEGADO FRANCISCHINI,SLZ,BSB,1
JAIR BOLSONARO,REC,GIG,1
JOÃO CARLOS BACELAR,SSA,SDU,1
GUILHERME MUSSI,CGH,BSB,162
RICARDO BARROS,BSB,GRU,1
DANRLEI DE DEUS HINTERHOLZ,BSB,CGH,1
NILSON LEITÃO,BSB,VCP,1
OTAVIO LEITE,BSB,AJU,1
WELLINGTON ROBERTO,CGH,JPA,2
ALUISIO MENDES,SSA,GRU,2
MARCELO ARO,GRU,BSB,1
EDUARDO BARBOSA,BSB,IZA,1
PROFESSORA MARCIVANIA,MCP,BEL,1
JOÃO CAMPOS,GYN,GRU,1
ULDURICO JUNIOR,SSA,AJU,2
GUILHERME MUSSI,BSB,BSB,129
NELSON PELLEGRINO,VDC,SSA,2
WELLINGTON ROBERTO,BSB,JPA,88
CLAUDIO CAJADO,SSA,BSB,121
MOSES RODRIGUES,GRU,FOR,8
SILVIO TORRES,BSB,AJU,1
MARCOS SOARES,BSB,BSB,67
CABO DACIOLO,CNF,SDU,1
WALDENOR PEREIRA,BSB,BSB,33
WLADIMIR COSTA,BSB,STM,9
NELSON PADOVANI,IGU,POA,1
DR. JORGE SILVA,CGH,BSB,2
MAURO LOPES,IPN,CNF,1
CHICO ALENCAR,GIG,FOR,3
RÔMULO GOUVEIA,JDO,GRU,1
DAGOBERTO NOGUEIRA,GRU,CGR,1
VALMIR PRASCIDELLI,SDU,CGH,2
EVANDRO ROMAN,GRU,IGU,1
ALEX MANENTE,BSB,CGH,55
EDUARDO CURY,BSB,SJK,3
ALEXANDRE VALLE,BSB,GIG,89
ANTONIO BULHÕES,BSB,RBR,1
PR. MARCO FELICIANO,BSB,CGH,9
VALTENIR PEREIRA,BSB,OPS,2
CARLOS EDUARDO CADOCA,GIG,BSB,4
JEAN WYLLYS,SDU,CNF,1
ANDRÉ ABDON,MCP,BSB,53
NILTO TATTO,GRU,BSB,1
FÁBIO RAMALHO,CNF,GVR,8
MAURO PEREIRA,CGH,BSB,8
MARCIO ALVINO,BSB,RAO,4
ARNALDO JORDY,GIG,BEL,1
MARCOS SOARES,CGH,SDU,4
SERGIO SOUZA,CWB,MGF,2
WALDENOR PEREIRA,VDC,BSB,10
LUIZ LAURO FILHO,VCP,BSB,36
MARCELO CASTRO,THE,BSB,75
PAULO FEIJÓ,GIG,BSB,1
EDUARDO BARBOSA,CNF,MOC,2
JORGE TADEU MUDALEN,BSB,VCP,1
ADEMIR CAMILO,SLZ,BSB,2
BETO FARO,BSB,CGH,3
DÉCIO LIMA,BSB,XAP,2
LAURA CARNEIRO,BSB,FOR,1
JUNIOR MARRECA,BSB,BSB,26
LUIZ FERNANDO FARIA,GRU,CNF,1
LIDERANÇA DO PT,RJ - BH,1
ROBERTO GÓES,MCP,MCP,1
ROGÉRIO MARINHO,BSB,NAT,64
ZECA CAVALCANTI,REC,CGH,1
AELTON FREITAS,BSB,UDI,19
DIMAS FABIANO,SDU,BSB,1
ALEXANDRE BALDY,BSB,SDU,2
ELMAR NASCIMENTO,SDU,BSB,6
JOSÉ FOGAÇA,CGH,POA,2
FRANCISCO FLORIANO,GIG,CGH,1
ALCEU MOREIRA,POA,SDU,1
ULDURICO JUNIOR,CNF,IOS,1
WALDENOR PEREIRA,VDC,SSA,51
ANTONIO CARLOS MENDES THAME,BSB,VCP,22
FRANCISCO CHAPADINHA,BSB,MAO,4
HUGO LEAL,CNF,SDU,4
VITOR LIPPI,VCP,SDU,5
ANA PERUGINI,VCP,MII,1
EVAIR VIEIRA DE MELO,BSB,BSB,60
POMPEO DE MATTOS,POA,BSB,14
MARINALDO ROSENDO,REC,GIG,2
PEDRO VILELA,SDU,BSB,1
ARNALDO JORDY,BEL,CKS,2
JOÃO FERNANDO COUTINHO,BSB,SDU,2
WILSON BESERRA,BSB,SDU,1
DR. JORGE SILVA,BSB,BSB,51
LUIZ NISHIMORI,GRU,BSB,1
ÁTILA LIRA,BSB,JDO,1
ALEX CANZIANI,MGF,CGH,1
BETO FARO,CGH,BSB,1
EVAIR VIEIRA DE MELO,BSB,SSA,2
JORGE SOLLA,BSB,GIG,1
MARCON,BSB,SDU,1
PAULO TEIXEIRA,BSB,SDU,4
MENDONÇA FILHO,REC,GIG,1
CLAUDIO CAJADO,SSA,BPS,3
JOSÉ REINALDO,CNF,BSB,2
TIA ERON,VDC,SSA,2
EVANDRO GUSSI,BSB,BSB,32
MARCOS SOARES,GYN,SDU,2
JUSCELINO FILHO,THE,BSB,1
CHICO D'ANGELO,BSB,BSB,76
FÁBIO RAMALHO,CNF,GRU,2
FELIPE BORNIER,BSB,GIG,110
CELSO JACOB,CGH,GIG,1
FÁTIMA BEZERRA,NAT,BSB,1
MARCELO CASTRO,BSB,BSB,39
JUNIOR MARRECA,SLZ,BSB,27
JÚLIO DELGADO,CNF,SDU,1
CARLOS MARUN,BSB,POA,4
JHC,MCZ,REC,1
MARCO TEBALDI,FLN,BSB,4
WOLNEY QUEIROZ,BSB,CGH,4
ORLANDO SILVA,GRU,BSB,15
MARIA HELENA,BSB,MAO,1
EVANDRO GUSSI,VCP,MII,8
FERNANDO COELHO FILHO,CGH,REC,1
MARCELO CASTRO,BSB,BRA,2
WILSON FILHO,BSB,REC,2
LEONARDO MONTEIRO,GVR,CNF,48
FABIO REIS,BSB,SSA,2
ODORICO MONTEIRO,FOR,BSB,93
JOSUÉ BENGTSON,SDU,BSB,1
LUIZIANNE LINS,AJU,BSB,1
RAQUEL MUNIZ,BSB,MCZ,1
EDUARDO CURY,BSB,BSB,20
RÔMULO GOUVEIA,BSB,JDO,1
FABIO REIS,BSB,BSB,36
ARNALDO JORDY,BEL,CGH,1
JUSCELINO FILHO,SLZ,BSB,21
LÁZARO BOTELHO,PMW,BSB,59
FERNANDO TORRES,SSA-SP,1
PEDRO UCZAI,BSB,GRU,1
HUGO MOTTA,BSB,JPA,50
JOSÉ MENTOR,CGH,CNF,1
MARCO MAIA,GYN,POA,1
FERNANDO COELHO FILHO,BSB,PNZ,4
MARIANA CARVALHO,BSB,CNF,1
PATRUS ANANIAS,CNF,MOC,1
FELIPE MAIA,BSB,NAT,38
JEAN WYLLYS,SDU,CGH,2
PATRUS ANANIAS,GVR,CNF,1
MIRO TEIXEIRA,SDU,CWB,1
ROBERTO ALVES,VCP,MAO,1
ROBERTO FREIRE,BSB,SDU,2
ANDERSON FERREIRA,REC,BSB,45
WADSON RIBEIRO,BSB,CNF,20
MARCOS MONTES,CNF,BSB,5
SILAS CÂMARA,CGH,BSB,4
REGINALDO LOPES,CNF,SDU,1
CACÁ LEÃO,CGH,SSA,15
BETO MANSUR,CGH,GIG,1
FAUSTO PINATO,PPB,CGH,1
GIACOBO,CWB,CAC,2
OTAVIO LEITE,AJU,GIG,4
PADRE JOÃO,BPS,BSB,1
FÁBIO FARIA,BSB,VCP,1
JOÃO RODRIGUES,GRU,FLN,4
DR. JOÃO,BSB,REC,1
GABRIEL GUIMARÃES,IPN,CNF,1
MARIA DO ROSÁRIO,GIG,BSB,2
ANA PERUGINI,RAO,BSB,1
BENEDITA DA SILVA,SDU,CGH,1
HERÁCLITO FORTES,THE,GRU,1
OSMAR TERRA,BSB,BSB,25
LUIZ FERNANDO FARIA,BSB,CGH,1
MARCO MAIA,BSB,SDU,2
OSMAR SERRAGLIO,BSB,IGU,6
DIEGO ANDRADE,CNF,BSB,142
RAFAEL MOTTA,BSB,PLU,2
DANILO CABRAL,BSB,CGR,1
BILAC PINTO,VCP,BSB,2
JORGE SOLLA,BSB,GRU,1
EDUARDO BOLSONARO,CGH-POA,2
DOMINGOS NETO,FOR,BSB,65
MARGARIDA SALOMÃO,BSB,NAT,1
ÁTILA A. NUNES,SDU,BSB,1
SHÉRIDAN,BSB-BVB,13
CACÁ LEÃO,CGH,SDU,1
VINICIUS GURGEL,CGH,BSB,8
ALEXANDRE BALDY,GYN,BSB,1
INDIO DA COSTA,BSB,CWB,3
RICARDO IZAR,GRU,BSB,2
FÉLIX MENDONÇA JÚNIOR,SSA,FOR,1
LAURA CARNEIRO,BSB,GIG,18
JUNIOR MARRECA,SLZ,BEL,1
VITOR LIPPI,SDU,BSB,3
EDUARDO BOLSONARO,BSB-POA,5
VALMIR ASSUNÇÃO,CGH,GYN,1
CACÁ LEÃO,BSB,SDU,1
SILAS CÂMARA,RBR,MAO,5
EDINHO BEZ,BSB,CWB,2
LINCOLN PORTELA,CNF,BSB,70
OSMAR SERRAGLIO,MGF,BSB,19
LEANDRE,POA,CWB,1
RAQUEL MUNIZ,SSA,GIG,1
NILTO TATTO,CGH,CNF,1
JOSÉ NUNES,BSB,MCZ,1
JOÃO CARLOS BACELAR,PNZ,SSA,1
ALBERTO FRAGA,BSB,AJU,3
WASHINGTON REIS,SDU,BSB,17
EDUARDO BOLSONARO,CXJ-BSB,1
JOÃO CARLOS BACELAR,PNZ,BSB,1
JÉSSICA SALES,CZS,BSB,2
JOSÉ NUNES,POA,CGH,1
LÁZARO BOTELHO,BSB,AUX,13
BRUNNY,SDU,BSB,1
STEFANO AGUIAR,BSB,SLZ,1
DAVI ALVES SILVA JÚNIOR,BSB,BSB,10
ARNALDO JORDY,MAB,BEL,5
DR. JOÃO,CGH,SDU,4
MANDETTA,AJU,CGR,1
TIA ERON,BSB,BRA,3
RONALDO BENEDET,CGH,POA,2
MARIANA CARVALHO,GRU,BSB,2
JORGE BOEIRA,JJG,VCP,1
GONZAGA PATRIOTA,PNZ,BSB,26
FÁBIO FARIA,GRU,BSB,1
CELSO JACOB,BSB,GIG,28
GONZAGA PATRIOTA,PNZ,SSA,2
MARCOS MONTES,CNF,UBA,1
BRUNO ARAÚJO,GIG,BSB,2
FÁBIO RAMALHO,REC,CNF,1
TIA ERON,BSB,SSA,74
JANDIRA FEGHALI,CGH,SDU,18
JOÃO CARLOS BACELAR,BSB,GIG,1
RONALDO BENEDET,BSB,POA,2
EDMILSON RODRIGUES,SSA,BSB,1
JOSÉ CARLOS ARAÚJO,BSB,CGH,3
ANDRÉ AMARAL,BSB,POA,1
MARQUINHO MENDES,BSB,BSB,38
GUILHERME MUSSI,BSB,RAO,1
MAURO PEREIRA,BSB,CGH,7
LUIZ FERNANDO FARIA,BSB,CNF,76
ADILTON SACHETTI,BSB,CGB,20
ADILTON SACHETTI,BSB,CGH,7
ARTHUR VIRGÍLIO BISNETO,BSB,BSB,64
HUGO MOTTA,JPA,BSB,57
PAULO AZI,BSB,GRU,1
ROBERTO ALVES,GRU,BSB,1
ARIOSTO HOLANDA,FOR,BSB,21
LUIZ FERNANDO FARIA,VDC,CNF,1
ROBERTO DE LUCENA,VCP,BSB,3
EDUARDO BOLSONARO,CNF-VIX,1
MARCUS VICENTE,VIX,GRU,3
NILSON LEITÃO,SMT,CGB,1
TIA ERON,BSB,BSB,38
HÉLIO LEITE,BEL,STM,2
JOÃO RODRIGUES,FLN,CGH,1
ROBERTO ALVES,BSB,BSB,78
CARMEN ZANOTTO,BSB,GIG,1
ANTONIO BRITO,CGH,SDU,1
WADIH DAMOUS,GIG,VIX,1
HÉLIO LEITE,BEL,BSB,61
JOÃO CARLOS BACELAR,SDU,BSB,4
JOSÉ PRIANTE,BEL,GIG,2
GOULART,SDU,BSB,2
MARCOS ROTTA,MAO,BSB,93
MOEMA GRAMACHO,SSA,GRU,2
SILVIO COSTA,REC,GRU,1
VANDER LOUBET,GRU,CGR,1
WILSON FILHO,CGH,BSB,3
ANTÔNIO JÁCOME,REC,GRU,1
BETO ROSADO,SDU,BSB,2
RODRIGO DE CASTRO,CGR,CNF,1
ANGELA ALBINO,FLN,XAP,12
JOSI NUNES,BSB,GIG,1
LUIZ CLÁUDIO,GRU,BSB,1
CRISTIANE BRASIL,BPS,SDU,1
WILSON BESERRA,BSB,BSB,12
AELTON FREITAS,BSB,BPS,1
ALCEU MOREIRA,POA,CWB,1
PEDRO UCZAI,BSB,GIG,1
SIMONE MORGADO,RIO,BSB,1
AFONSO HAMM,BSB,REC,1
PADRE JOÃO,BSB,CNF,73
VALDIR COLATTO,XAP,BSB,101
EVANDRO GUSSI,GRU,BSB,7
LUIZ FERNANDO FARIA,CGH,CNF,2
BONIFÁCIO DE ANDRADA,BSB,CNF,198
NEWTON CARDOSO JR,CGH,CNF,1
VANDERLEI MACRIS,VCP,BSB,7
FERNANDO JORDÃO,GRU,SDU,1
GIACOBO,POA,BSB,1
PR. MARCO FELICIANO,GRU,RAO,17
ANTONIO BRITO,VDC,SSA,8
DÂMINA PEREIRA,CGR,BSB,1
PR. MARCO FELICIANO,BSB,BSB,8
JORGE TADEU MUDALEN,BSB,CNF,1
DANIEL ALMEIDA,BSB,AJU,1
CRISTIANE BRASIL,BSB,BSB,41
WADIH DAMOUS,CWB,GIG,1
ARTHUR VIRGÍLIO BISNETO,BSB,BVB,5
GERALDO RESENDE,CGR,BSB,111
JOSÉ MENTOR,BSB,CGH,99
PAES LANDIM,GRU,BSB,1
ELMAR NASCIMENTO,BRA,SSA,3
JOÃO ARRUDA,BSB,LDB,9
RUBENS OTONI,GYN,SDU,1
SUBTENENTE GONZAGA,SDU,BSB,4
LUIZ NISHIMORI,BSB,CWB,3
LUCIANA SANTOS,SSA,REC,1
