name,origin,destination,count
ALEX MANENTE,BSB,BSB,20
RENZO BRAZ,BSB,SDU,2
ADILTON SACHETTI,CGB,GRU,20
LIDERANÇA DO PSDB,AJU-SSA,1
OSMAR SERRAGLIO,MGF,CWB,1
ERIVELTON SANTANA,RAO,BSB,2
FRANCISCO FLORIANO,FOR,BSB,1
PEPE VARGAS,FOR,BSB,1
ANA PERUGINI,BSB,SDU,1
BONIFÁCIO DE ANDRADA,UDI,CNF,2
WOLNEY QUEIROZ,BSB,BSB,89
JOÃO RODRIGUES,BSB,GIG,2
FÉLIX MENDONÇA JÚNIOR,SSA,GRU,1
JOÃO DANIEL,BSB,AJU,111
ELMAR NASCIMENTO,SSA,BSB,92
SUBTENENTE GONZAGA,SDU,CNF,2
JULIO LOPES,MCZ,BSB,1
VALTENIR PEREIRA,CGB,BSB,135
CABO SABINO,BSB,REC,4
ERIVELTON SANTANA,BSB,RAO,2
DAMIÃO FELICIANO,GRU,JPA,12
VINICIUS GURGEL,REC,BSB,1
MOEMA GRAMACHO,BSB,NAT,1
SÉRGIO MORAES,CGH,POA,5
SILAS CÂMARA,BSB,CGH,2
JERÔNIMO GOERGEN,BSB,GIG,2
CARLOS SAMPAIO,CGH,BSB,6
ANDRÉ FUFUCA,GIG,BSB,1
ALEX MANENTE,CGH,BSB,42
RENATA ABREU,BSB,SDU,1
HIRAN GONÇALVES,GIG,BSB,1
ELMAR NASCIMENTO,SSA,BRA,4
CARMEN ZANOTTO,FLN,CGH,1
RODRIGO DE CASTRO,CGR,BSB,1
RÔMULO GOUVEIA,BSB,JPA,35
SÉRGIO MORAES,BSB,POA,120
HERÁCLITO FORTES,cgh,bsb,1
ANGELA ALBINO,CGH,JOI,1
CARLOS SAMPAIO,BSB,BSB,40
FRANCISCO CHAPADINHA,BEL,STM,8
MENDONÇA FILHO,REC,GRU,2
PADRE JOÃO,UDI,CNF,1
SILVIO TORRES,CGH,SDU,4
ADILTON SACHETTI,GRU,BSB,1
SHÉRIDAN,BVB-BSB,12
FRANCISCO CHAPADINHA,BEL,BSB,4
FRANKLIN,BSB,GRU,12
LEOPOLDO MEYER,CWB,CGH,1
VICENTE ARRUDA,FOR,NAT,4
WEVERTON ROCHA,BSB-SLZ,1
DELEGADO FRANCISCHINI,BSB,BSB,31
LÁZARO BOTELHO,PMW,AUX,28
CHICO D'ANGELO,BSB,SSA,1
CABUÇU BORGES,BSB,CGH,5
RAIMUNDO GOMES DE MATOS,GRU,PFB,1
MARCELO CASTRO,BSB,SSA,1
PAULO PIMENTA,BSB,SSA,1
OTAVIO LEITE,CGH,SDU,12
SARAIVA FELIPE,SDU,PLU,1
RUBENS BUENO,CWB,BSB,87
ALEX CANZIANI,SDU,BSB,1
CHICO ALENCAR,GYN,SDU,1
ADELMO CARNEIRO LEÃO,CNF,SSA,1
LUIS CARLOS HEINZE,POA,SDU,2
MAURO LOPES,GYN,CNF,1
ANTÔNIO JÁCOME,BSB,GRU,1
FLAVIANO MELO,BSB,CZS,2
JOSÉ AIRTON CIRILO,NAT,FOR,1
PAULO PIMENTA,BSB,BSB,17
EVANDRO ROMAN,CWB,BSB,23
MÁRCIO MARINHO,BRA,SSA,1
STEFANO AGUIAR,BSB,CNF,61
JEFFERSON CAMPOS,CNF,VCP,1
SÉRGIO BRITO,BSB,VDC,3
ANDERSON FERREIRA,BSB,BSB,83
ADEMIR CAMILO,BSB,BSB,43
BRUNA FURLAN,CGH,BSB,118
INDIO DA COSTA,BSB,BSB,56
DANRLEI DE DEUS HINTERHOLZ,BSB,BSB,64
WLADIMIR COSTA,BSB,BEL,77
RONALDO BENEDET,XAP,BSB,1
FÁBIO RAMALHO,BPS,REC,2
TIRIRICA,BSB,BSB,12
VALDIR COLATTO,POA,FLN,2
MARIANA CARVALHO,BSB,CGH,5
ADEMIR CAMILO,CGH,BSB,2
CAPITÃO FÁBIO ABREU,BSB,THE,1
ANTONIO CARLOS MENDES THAME,VCP,PPB,1
CHICO ALENCAR,CGH,BSB,1
MARIANA CARVALHO,BSB,CGB,3
VALDIR COLATTO,BSB,POA,1
LUIZ CARLOS BUSATO,POA,BSB,45
PROFESSORA DORINHA SEABRA REZENDE,BSB,GYN,6
CHICO D'ANGELO,CGH,BSB,1
FÁBIO RAMALHO,CGH,CNF,6
MARCELO CASTRO,CGH,BSB,2
JOÃO CAMPOS,BSB,GYN,7
AELTON FREITAS,UDI,BSB,2
LELO COIMBRA,BSB,BSB,45
MARCELO CASTRO,BSB,SLZ,2
PROFESSOR VICTÓRIO GALLI,ROO,BSB,1
RONALDO CARLETTO,BSB,CNF,2
LUIZ NISHIMORI,CWB,MGF,3
MARCIO ALVINO,BSB,REC,1
NELSON MARQUEZELLI,RAO,BSB,3
MARCO MAIA,POA,GYN,5
MÁRIO HERINGER,BSB,VCP,1
JOÃO DANIEL,AJU,GIG,1
PEPE VARGAS,CXJ,BSB,8
CABO DACIOLO,GIG,CNF,1
CARLOS MARUN,CGH,POA,1
ÁTILA LINS,MAO,GRU,1
MARIA DO ROSÁRIO,BSB,POA,76
AFONSO HAMM,BSB,BSB,70
ARNON BEZERRA,JDO,FOR,31
JOÃO CARLOS BACELAR,SSA,BSB,69
ADELMO CARNEIRO LEÃO,CNF,BSB,54
WELLINGTON ROBERTO,FOR,NAT,1
VALMIR PRASCIDELLI,SDU,BSB,1
PAULO TEIXEIRA,sp,bsb,2
WALDENOR PEREIRA,BSB,SDU,1
ENIO VERRI,GRU,CAC,1
WLADIMIR COSTA,CGH,BEL,1
JOÃO RODRIGUES,SDU,BSB,2
FÁBIO MITIDIERI,CNF,SDU,1
RÔMULO GOUVEIA,CGH,JPA,1
EZEQUIEL FONSECA,CGH,BSB,2
PASTOR LUCIANO BRAGA,JDO,BSB,2
EDUARDO BOLSONARO,poa-bsb,1
MARCELO AGUIAR,GRU,BSB,3
RENZO BRAZ,BSB,SJP,1
WLADIMIR COSTA,SLZ,BSB,1
WALTER ALVES,NAT,GRU,1
ESPERIDIÃO AMIN,FLN,BSB,110
WOLNEY QUEIROZ,CGH,BSB,3
ZECA DIRCEU,CWB,CGH,3
MÁRCIO MARINHO,SLZ,GRU,1
JERÔNIMO GOERGEN,SDU,BSB,1
TIRIRICA,CGH,BSB,19
CHICO ALENCAR,BSB,BSB,40
DELEGADO FRANCISCHINI,CGH,BSB,2
